CONTENT SURGEON AUDIT — 2026-04-11
Target: ~1,500 words max per article (~10 min read)

Word Count	Read Time	File
2303	12min	question-visual-theology.html
2297	12min	demolition-2cor5-14-15.html
2296	12min	psychology-stockholm-syndrome-sin.html
2291	12min	question-newheart.html
2286	12min	history-korean-revival.html
2275	12min	question-regeneration-precedes-faith.html
2272	12min	analogy-chess-grandmaster.html
2265	12min	systematic-bibliology.html
2264	12min	question-where-did-your-faith-come-from.html
2261	12min	joy-god-big-enough.html
2257	12min	philosophy-gravity-of-grace.html
2253	12min	question-does-god-love-everyone-equally.html
2247	12min	demolition-hebrews2-9.html
2224	12min	just-realized.html
2215	12min	secular-neuroscience-human-inability.html
2213	12min	demolition-romans10-9.html
2213	12min	systematic-resurrection.html
2206	12min	analogy-drowning-man.html
2204	12min	invisible-wall-only-one-who-sees.html
2197	11min	devotional-valley-shadow.html
2195	11min	story-cross-examination.html
2194	11min	psychology-sincerity-trap.html
2189	11min	anxious-mind-the-loop-that-wont-break.html
2182	11min	theologian-spurgeon.html
2174	11min	analogy-adoption.html
2153	11min	question-external-internal-call.html
2148	11min	psychology-reactance-theory.html
2146	11min	secular-hard-problem-consciousness.html
2141	11min	devotional-weakness-of-gods-strength.html
2135	11min	psychology-terror-management.html
2131	11min	apologetic-perseverance.html
2127	11min	question-dead-bury-dead.html
2120	11min	devotional-the-prayer-you-didnt-pray.html
2105	11min	broken-mirror-the-relapse.html
2104	11min	story-the-garden-that-grew-itself.html
2095	11min	anxious-mind-fear-of-hell.html
2089	11min	philosophy-copernican-revolution.html
2088	11min	compare-monergism-synergism.html
2085	11min	systematic-trinity.html
2079	11min	philosophy-prisoners-dilemma.html
2074	11min	story-the-self-made-man.html
2073	11min	question-calvinist-on-knees.html
2073	11min	question-external-call.html
2071	11min	question-hardening.html
2060	11min	objection-god-could-save-all.html
2058	11min	devotional-the-god-who-wastes-nothing.html
2057	11min	secular-history-sovereignty.html
2053	11min	shattered-lens-lost-community.html
2046	11min	demolition-2peter2-1.html
2040	11min	start-here-phase4.html
2038	11min	devotional-adoption-papers.html
2037	11min	philosophy-bootstrap-paradox.html
2023	11min	open-wound-miscarriage.html
2020	11min	demolition-john12-32.html
2018	11min	devotional-my-chains-fell-away.html
2018	11min	question-ezekiel37.html
2016	11min	demolition-matt23-37.html
2016	11min	psychology-language-acquisition.html
2010	11min	philosophy-observer-effect-sin.html
2006	11min	open-wound-the-prayer-god-didnt-answer.html
1996	10min	philosophy-what-if-wrong.html
1990	10min	devotional-cold-church.html
1990	10min	devotional-not-my-will-but-joy.html
1981	10min	theologian-warfield.html
1974	10min	demolition-1tim4-10.html
1970	10min	devotional-chosen-before-you-were-broken.html
1962	10min	psychology-addiction-proof.html
1958	10min	shattered-lens-when-prayer-stopped-working.html
1949	10min	story-the-person-who-chose-god.html
1936	10min	demolition-2peter3-9.html
1934	10min	demolition-titus2-11.html
1932	10min	broken-mirror-vessels-for-mercy.html
1931	10min	apologetic-unreached.html
1930	10min	story-the-letter-before-the-world.html
1905	10min	psychology-why-this-objection-proves-our-point.html
1903	10min	psychology-sunk-cost-faith.html
1896	10min	philosophy-theater-script.html
1890	10min	start-here-phase1.html
1883	10min	philosophy-munchhausen-trilemma.html
1872	10min	broken-mirror-imposter-syndrome.html
1871	10min	story-humor-the-man-who-sued-god.html
1870	10min	story-the-fish-who-chose-the-ocean.html
1857	10min	romans-3-10-18.html
1851	10min	story-humor-committee-to-save-yourself.html
1837	10min	devotional-glory-of-divine-choice.html
1833	10min	devotional-in-christ.html
1833	10min	theologian-machen.html
1822	10min	invisible-wall-spiritual-envy.html
1815	10min	shattered-lens-pastor.html
1814	10min	demolition-arianism.html
1807	10min	devotional-the-hands-that-hold-you.html
1805	10min	question-does-god-choose-who-goes-to-heaven.html
1805	10min	theologian-bradwardine.html
1800	9min	start-here-phase5.html
1791	9min	history-calvin-geneva.html
1788	9min	philosophy-immune-system-grace.html
1787	9min	anxious-mind-sovereignty-of-sleep.html
1781	9min	question-where-does-your-no-come-from.html
1778	9min	question-john17.html
1771	9min	devotional-love-before-the-world.html
1767	9min	anxious-mind-brain-decides.html
1759	9min	story-surgeon-stone-heart.html
1742	9min	question-how-grace-feels.html
1715	9min	compare-calvinism-molinism.html
1680	9min	start-here-phase3.html
1672	9min	theologian-wycliffe.html
1667	9min	story-thought-the-god-who-let-you-watch.html
1666	9min	question-dead-in-sin-meaning.html
1652	9min	story-the-room-where-you-chose.html
1648	9min	psychology-identity-threat.html
1630	9min	devotional-when-god-says-no.html
1623	9min	question-born-again-meaning.html
1611	9min	analogy-orchestra.html
1608	9min	devotional-never-gives-up.html
1580	8min	invisible-wall-lonely-theological.html
1576	8min	theologian-arminius.html
1568	8min	story-historical-augustine-pears.html
1562	8min	shattered-lens-cant-unsee-it.html
1521	8min	history-luther.html
1501	8min	theologian-anselm.html
1482	8min	question-what-is-sovereign-grace.html
1478	8min	psychology-backfire-effect.html
1477	8min	analogy-river.html
1459	8min	theologian-sproul.html
1453	8min	question-one-question.html
1436	8min	objection-why-pray.html
1424	8min	question-am-i-chosen.html
1412	8min	open-wound-hospital-room.html
1405	8min	question-why-pray-if-god-is-sovereign.html
1396	7min	devotional-love-letter-before-time.html
1377	7min	history-medieval.html
1369	7min	devotional-good-i-cannot-do.html
1368	7min	objection-why-evangelize.html
1329	7min	broken-mirror-not-self-made.html
1328	7min	story-the-kings-banquet.html
1282	7min	question-is-predestination-in-the-bible.html
1282	7min	question-what-does-chosen-mean.html
1277	7min	history-apostolic.html
1252	7min	question-pharaoh-hardened.html
1231	7min	systematic-salvation.html
1219	7min	objection-unfair-to-choose-some.html
1185	6min	shattered-lens-cant-tell-true.html
1144	6min	for-deconstructed.html
1049	6min	theologian-lloydjones.html
762	4min	ot-election.html
447	3min	theologian-owen.html
420	3min	donate.html
417	3min	terms.html
400	2min	theologian-whitefield.html
371	2min	theologian-bunyan.html
350	2min	philosophy-sleep-surrender.html
344	2min	open-wound-senseless-death.html
306	2min	psychology-emotional-vs-rational.html
278	2min	contact.html
267	2min	privacy.html
227	2min	open-wound-sovereignty-in-grief.html
219	2min	secular-ai-determinism.html
210	2min	psychology-cognitive-biases.html
208	2min	psychology-offense-of-grace.html
203	2min	psychology-groupthink.html
194	1min	open-wound-betrayed-by-church.html
152	1min	question-cannot.html
68	1min	scripture-tsunami.html
61	1min	philosophy-resistance-is-proof.html
59	1min	philosophy-phantom-limb-free-will.html
53	1min	philosophy-mirror-you-refuse.html
48	1min	philosophy-self-deception.html
46	1min	philosophy-problem-of-merit.html
45	1min	philosophy-exclusive-love.html
45	1min	philosophy-marriage-election.html
43	1min	psychology-why-we-resist.html

Total articles: 396
Over 1500: 345
Over 2500: 189
Over 4000: 51
Under 1500: 51
